k, knn, svm, ridge, lasso, linear, rf, xgb
100,15.497854629525252,17.127459573198543,16.2593574500853,17.109814341051916,16.305867259416804,15.633039642985363,17.65240947656218
100,15.580559297515888,16.8230077488027,16.08848724822719,17.249268603316615,16.224845345450962,15.738028472053431,17.38367510104229
1000,15.379196496539778,17.051457034069873,16.195033158466682,17.180616293596618,16.310033561864,15.773033890692815,17.523132602107985
10000,15.403564481415096,17.035903455229047,16.231897027723548,17.197732750067058,16.20766182550365,15.772617220201932,17.537114774438205
