0,2.33,27.87,100223.41,67.00,26.69
1,2.21,28.01,100218.53,65.00,26.56
2,2.46,27.98,100213.88,64.00,26.37
3,2.46,27.98,100214.05,67.00,26.25
4,2.37,28.01,100214.18,69.00,26.25
5,2.42,28.02,100210.42,69.00,26.25
6,2.21,28.05,100208.25,65.00,26.25
7,2.46,28.01,100207.85,70.00,26.19
8,2.49,27.85,100203.59,68.00,26.12
9,2.30,27.86,100202.58,70.00,26.62
10,2.19,27.79,100210.50,68.00,26.62
11,2.17,27.80,100212.25,67.00,26.50
12,2.33,27.78,100211.91,73.00,26.50
13,2.26,27.78,100210.01,71.00,26.44
14,2.19,27.82,100209.14,66.00,26.37
15,2.19,27.82,100210.47,68.00,26.37
16,2.39,28.09,100213.89,67.00,27.25
17,2.46,28.12,100219.03,74.00,27.25
18,2.19,28.10,100220.10,67.00,27.31
19,2.33,28.13,100222.83,69.00,27.37
20,2.49,28.14,100221.42,63.00,27.37
21,2.49,28.01,100219.22,64.00,28.44
22,2.35,28.06,100221.28,70.00,28.37
23,2.51,28.05,100219.57,73.00,28.31
24,2.44,28.03,100218.46,74.00,28.31
25,2.15,28.01,100217.85,76.00,28.25
26,2.51,28.00,100206.78,76.00,28.75
27,2.12,28.00,100204.67,83.00,28.69
28,2.49,28.04,100204.22,80.00,28.62
29,2.12,28.08,100204.51,76.00,28.56
30,2.24,28.10,100204.64,78.00,28.50
31,2.19,28.20,100196.43,77.00,29.69
32,2.39,28.23,100197.00,74.00,29.62
33,2.49,28.21,100196.92,77.00,29.56
34,2.49,28.17,100196.26,68.00,29.50
35,2.49,28.15,100195.47,76.00,29.37
36,2.12,28.13,100199.25,73.00,29.31
37,2.26,28.10,100186.20,74.00,30.81
38,2.08,28.14,100190.32,77.00,30.75
39,2.08,28.13,100192.81,73.00,30.75
40,2.12,28.14,100194.69,76.00,30.62
41,2.46,28.14,100194.52,67.00,30.56
42,2.08,28.15,100192.86,78.00,30.44
43,2.08,28.17,100196.32,76.00,30.37
44,2.08,28.29,100185.67,68.00,31.87
45,2.37,28.26,100190.12,78.00,31.81
46,2.05,28.26,100189.27,73.00,31.69
47,2.15,28.24,100189.21,69.00,31.50
48,2.51,28.25,100190.52,71.00,31.37
49,2.46,28.73,100186.95,82.00,31.94
50,2.39,28.66,100186.58,73.00,32.06
51,2.03,28.63,100184.33,78.00,32.00
52,2.44,28.60,100189.02,70.00,31.87
53,2.33,28.64,100185.46,74.00,31.75
54,2.21,26.43,100794.53,58.00,24.87
55,2.24,26.45,100792.99,70.00,24.81
56,2.24,26.47,100794.46,64.00,24.81
57,2.21,26.47,100795.03,61.00,24.81
58,2.21,26.49,100791.85,68.00,24.75
59,2.04,26.54,100787.58,63.00,26.19
60,2.21,26.58,100790.56,65.00,26.25
61,2.13,26.57,100790.57,65.00,26.37
62,2.04,26.56,100791.48,65.00,26.37
63,2.07,26.55,100788.74,65.00,26.44
64,2.41,26.51,100786.50,66.00,25.56
65,2.07,26.52,100783.86,70.00,25.50
66,2.41,26.52,100783.74,66.00,25.50
67,2.07,26.51,100784.49,66.00,25.50
68,2.24,26.51,100783.33,70.00,25.50
69,2.38,26.49,100783.50,70.00,25.44
70,2.41,26.39,100778.93,72.00,26.81
71,2.38,26.41,100782.89,65.00,26.69
72,2.18,26.44,100784.47,65.00,26.44
73,2.13,26.45,100780.60,61.00,26.37
74,2.07,26.46,100780.68,73.00,26.31
